Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,,The Doll House,,poem,"The speaker reflects on a childhood dollhouse as a symbol of memory, control, and the passage of time. Through the image of the miniature home, the poem explores themes of nostalgia, loss, and the contrast between imagined order and real-life unpredictability.",A.E. Stallings,2001,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,15.0,7.74,9 to 12 ,,poetry,"memory, the passage of time, youth vs age","nostalgic, personification, metaphorical",
,,See It Through,,poem,"See It Through is a motivational call to face challenges with courage and determination. It encourages perseverance in difficult times, emphasizing the importance of inner strength, grit, and never giving up when confronted with fear or hardship.",Edgar Albert Guest,1917,,,Slightly Complex,Slightly Complex,Slightly Complex ,Slightly Complex ,,,6.6,6.74,6 to 8 ,,poetry,"resilience, overcoming adversity, bravery, determination","modernism, inspiring, hopeful",
,,Be The Best Of Whatever You Are,,poem,"""Be the Best of Whatever You Are encourages readers to take pride in who they are and what they do, no matter their role in life. It emphasizes doing one's best with integrity and purpose, regardless of status or position.",Douglas Malloch,1926,,,Slightly Complex,Slightly Complex,Slightly Complex,Slightly Complex,,,11.7,5.54,6 to 8 ,,poetry,"self-acceptance, diversity, determination","inspiring, hopeful, social commentary",
,,On Turning Ten,,poem,"In a reflection of the bittersweet experience of leaving childhood behind, the speaker mourns the loss of youthful innocence and imagination, recognizing that growing older means facing a more complicated and less magical world. ",Billy Collins,1995,,,Moderately Complex,Moderately Complex,Slightly Complex,Slightly Complex ,,,7.8,6.32,6 to 8 ,,poetry,"youth vs age, loss of innocence, suffering, imagination","coming of age, somber, bittersweet",
,,Harlem,,poem,"Harlem focuses on the experiences of African Americans in Harlem, highlighting the social and racial injustices that force many to delay or abandon their dreams. It explores the frustration and consequences of deferred dreams, questioning what happens when hopes and aspirations are continually postponed. ",Langston Hughes,1951,,,Very Complex ,Moderately Complex,Moderately Complex,Very Complex,,,1.4,3.78,6 to 12 ,,poetry,"racism, injustice, dreams vs. reality, social justice","American dream, Civil rights, revolution, social commentary, Harlem Renaissance",African American
,,O Captain My Captain,,poem,"O Captain! My Captain! is an elegy mourning the death of a beloved leader, widely interpreted as President Abraham Lincoln. The poem uses the metaphor of a ships captain who has successfully guided his vessel through a storm, only to die just as the journey ends, expressing both sorrow and a sense of victory.",Walt Whitman ,1865,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,4.2,7.09,8 to 12 ,,"poetry,elegy","grief, loss, patriotism, victory","masculinity, heroism, classic, sensational",
,,The Giver,179.0,Novel ,Jonas is selected as the Reciever of Memory and this makes him question the sameness and controlled emotions of his dystopian society.,Lois Lowry,1993,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,760,4.51,4.97,6 to 8,,Dystopian Fiction,"Memory, individuality, societal control","coming of age, science fiction, sensational, choice, bittersweet",
,,A Wrinkle In Time,256.0,Novel ,"Meg travels through time and space with her brother and friend to rescue her father, which leads her to question the power of darkness and discover the strength of love and individuality.",Madeleine L'Engle,1962,,,Very Complex,Very Complex,Very Complex,Very Complex,,740,4.51,4.97,5 to 7 ,,science fiction ,"individuality, freedom vs. control, love, community","coming of age, Christian values, fantasy, family, adventure, science",
,,The Lightning Thief,416.0,Novel ,"Percy Jackson discovers he is a demigod and is accused of stealing Zeuss lightning bolt, prompting him to embark on a quest that reveals his true identity and challenges the gods control over the mortal world.",Rick Riordan,2005,,,Moderately Complex,Moderately Complex ,Moderately Complex ,Very Complex,,680,1.98,2.75,5 to 9 ,,fantasy fiction ,"identity, friendship, heroism vs. normalcy ","coming of age, belonging, fantasy, sardonic, young adult literature, hero's journey",Greek Mythology 
,,Wonder,310.0,Novel ,"Auggie Pullman, a boy with a facial difference, attends school for the first time and faces bullying and kindness that ultimately transform his communitys views on acceptance and empathy.",R.J. Palacio ,2012,,,Moderately Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,790,4.51,4.97,3 to 7 ,,realistic fiction ,"kindness, social belonging, the cruelty of bullying, identity, friendship, acceptance","coming of age, family, hopeful, humorous, isolation, self-discovery",
,,Bridge To Terabithia,176.0,Novel ,"Jesse Aarons forms a deep friendship with Leslie Burke, and together they create the imaginary world of Terabithia, but her sudden death forces him to confront grief and find strength through their shared creativity.",Katherine Paterson ,1977,,,Moderately Complex,Slightly Complex,Moderately Complex ,Moderately Complex,,810,4.51,4.97,4 to 7 ,,realistic fiction ,"friendship, loss, grief, individuality, gender","coming of age, bittersweet, children's literature, imagination and escapism ",
,,Holes,233.0,Novel,"Stanley Yelnats is sent to a juvenile detention camp where he must dig holes as punishment, but he uncovers a hidden family curse and a buried mystery that changes his destiny.",Louis Sachar,1998,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,660,1.98,2.75,5 to 8 ,,realistic fiction,"friendship, fate vs. free will, justice, cruelty vs kindness","racism, magical realism, young adult literature, mystery, adventure",
,,Hatchet,192.0,Novel ,"After a plane crash leaves him stranded in the wilderness, thirteen-year-old Brian must learn to survive alone, discovering resilience and self-reliance in the face of natures challenges.",Gary Paulsen,1986,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1020,6.51,7.0,5 to 10 ,,"fiction, bildungsroman","survival, isolation, man vs. nature ","coming of age, adventure, young adult literature, personal growth, resilience",
,,The Book Thief,584.0,Novel ,"Liesel steals books and learns to read in Nazi Germany, using the power of words to cope with loss and resist the horrors of war as Death narrates her story.",Markus Zusak,2005,,,Very Complex,Very Complex,Very Complex,Very Complex,,730,5.34,5.14,7 to 12 ,,historical fiction ,"death, burdens of war, cruelty vs kindness, friendship, power of words","coming of age, tear-jerker, sardonic, emotional, hardship ",Holocaust/Jewish
,,Little Women,750.0,Novel ,"The March sistersMeg, Jo, Beth, and Amyeach follow different paths to womanhood, revealing the struggles and strength of family, identity, and independence.",Louisa May Alcott,1868,,,Moderately Complex,Moderately Complex,Very Complex,Very Complex,,1300,8.32,9.67,6 to 12 ,,"fiction, historical fiction ","family, love, ambition, gender roles, identity, sacrifice","coming of age, Civil War, romance, family drama, classic ",
,,Jacob Have I Loved,256.0,Novel,"Jacob Have I Loved by Katherine Paterson tells the story of Louise Bradshaw, a jealous and self-doubting girl growing up in her twin sister's shadow on a Chesapeake Bay island, as she struggles to find her identity, independence, and self-worth.",Katherine Paterson,1980,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,880,5.34,5.14,7 to 12,,historical fiction,"identity, independence, family, self-worth","coming of age, sibling rivalry, World War II",
,,I Am Malala,327.0,Memoir,"I am Malala is the remarkable tale of a family uprooted by global terrorism, of the fight for girls' education, of a father who, himself a school owner, championed and encouraged his daughter to write and attend school, and of brave parents who have a fierce love for their daughter in a society that prizes sons.",Christina Lamb and Malala Yousafzai,2013,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,830,5.34,5.14,7 to 12,,autobiography,"burdens of war, education, resilience, family, survival","activism, non-fiction, war",Pashtun (set in Pakistan)
,,I Know Why The Caged Bird Sings,304.0,Memoir,"An autobiography describing the young and early years of writer and poet Maya Angelou in the segregated South, this book explores how Maya' strength of character and love of literature helped her navigate racism and trauma. ",Maya Angelou,1969,,,Very Complex,Very Complex,Very Complex,Very Complex,,1010,6.51,7.0,9 to 12 ,,autobiography ,"facing racism, gender roles, self-acceptance, freedom vs control, power of words, belonging","coming of age, personal growth, religion, American South, descriptions of sexual abuse",African American 
,,Slaughterhouse-Five,200.0,Novel ,"Billy Pilgrim becomes ""unstuck in time"" after surviving the bombing of Dresden, and his nonlinear experiences with war, trauma, and alien abduction lead him to question the nature of free will and human suffering.",Kurt Vonnegut,1969,,,Exceedingly Complex,Very Complex,Very Complex,Very Complex,,850,4.51,4.97,9 to 12 ,,"science fiction, historical fiction ","burdens of war, death, fate vs. free will, imagination, human nature","pyschological, philosophical, satire, absurdity, dark, World War II ",
,,The Maze Runner,375.0,Novel ,"Thomas wakes up in the Glade with no memory of his past, and as he joins a group of boys trapped in a deadly and ever-changing maze, he begins to question the truth behind their imprisonment and the organization controlling them.",James Dashner,2009,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,770,4.51,4.97,7 to 9 ,,science fiction ,"survival, sacrifice, identity, memory, friendship, freedom","dystopian, young adult literature, adventure, suspense",
,,Stargirl,169.0,Novel,"When the eccentric and free-spirited Stargirl arrives at her new high school, her uniqueness makes her an outcast, and this forces her classmate, Leo, to question the value of fitting in versus staying true to oneself.",Jerry Spinelli,2000,,,Moderately Complex,Moderately Complex,Slightly Complex ,Slightly Complex ,,590,1.98,2.75,6 to 9 ,,realistic fiction ,"identity, belonging, conformity, friendship, kindness, acceptance ","young adult literature, romance, heartfelt, personal growth",
,,Crime And Punishment,720.0,Novel,"Crime and Punishment is a psychological novel thatexplores the moral and psychological consequences of crime as its protagonist, Rodion Raskolnikov, an impoverished student, justifies his murder of an old pawnbroker.",Fyodor Dostoevsky,1866,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,850,6.12,6.0,11 to 12,,psychological fiction,"loss of innocence, morality, good vs. evil","good vs. evil, redemption, guilt,  poverty, crime",
,,Uncle Tom'S Cabin,266.0,Novel,"Uncle Tom, a deeply religious and compassionate enslaved man, is sold to increasingly cruel owners, leading him to endure great suffering and ultimately inspiring others through his unwavering faith. His journey exposes the brutality of slavery and challenges the moral conscience of a divided nation.",Harriet Beecher Stowe,1852,,,Very Complex ,Moderately Complex ,Very Complex ,Very Complex ,,1050,8.32,9.67,9 to 12 ,,fiction ,"justice, freedom, facing racism, family, cruelty vs kindness, morality ","classic, historical, abolitionist, slavery, Christian values ",African American 
,,Wuthering Heights,359.0,Novel ,"Lockwood, a new tenant on the Yorkshire moors, uncovers the dark history of Wuthering Heights and the doomed love between Heathcliff, a brooding outsider, and Catherine Earnshaw. Catherines choice to marry for status rather than love drives Heathcliff to revenge, a legacy of pain that haunts the next generation.",Emily Bront,1847,,,Very Complex,Exceedingly Complex,Very Complex,Very Complex,,880,4.51,4.97,6 to 12 ,,gothic fiction ,"love, destruction, revenge, legacy of heritage, family ","supernatural, gender roles, social class, romance, psychological ",
,,The Perks Of Being A Wallflower,224.0,Novel,"Charlie, an introverted high school freshman, navigates the challenges of adolescence, mental health, and first love through a series of letters as he tries to find his place in the world. With the help of new friends Sam and Patrick, he begins to step out of the shadows and confront the trauma of his past.",Stephen Chbosky,1999,,,Moderately Complex ,Moderately Complex ,Slightly Complex,Very Complex,,720,4.51,4.97,9 to 12 ,,realistic fiction ,"friendship, the power of words, mental illness, relationships, identity ","coming of age, young adult literature, epistolary, emotional, trauma ",LGBTQ+
,,Twleve Angry Men,96.0,Drama,"When a jury of twelve men must decide the fate of a teenage boy accused of murder, one juror stands alone in questioning the evidence. As tensions rise in the jury room, each man confronts his own biases, and the case becomes a test of justice, reason, and integrity.",Reginald Rose,1964,,,Very Complex,Moderately Complex ,Moderately Complex,Moderately Complex,,,7.72,7.2,7 to 12 ,,"fiction, drama","justice, prejudice, human nature, conformity, racial inequality ","classic, criminal justice system, doubt, pyschological ",
,,The Old Man And The Sea,128.0,Novel,"Santiago, an aging Cuban fisherman, endures a grueling battle with a giant marlin far out in the Gulf Stream after weeks of bad luck. His physical struggle becomes a quiet, powerful reflection on pride, perseverance, and the dignity found in enduring hardship.",Ernest Hemingway,1952,,,Very Complex,Moderately Complex ,Slightly Complex,Moderately Complex,,940,4.51,5.1,7 to 12,,"fiction, classic ","resilience, friendship, man vs nature, pride, destruction, youth vs. age","classic, allegory, religion, heroism, adventure, nautical",
,,The Road,287.0,Novel,"In a bleak, post-apocalyptic world, a father and his young son journey through a devastated landscape, struggling to survive while holding onto hope and their moral code. As they face hunger, danger, and despair, their bond becomes a quiet testament to love, humanity, and endurance in a ruined world.",Cormac McCarthy,2006,,,Very Complex ,Very Complex,Very Complex,Very Complex,,670,4.51,4.0,9 to 12 ,,"fiction, dystopian fiction","family, survival, hope, memory, faith, resilience, good vs evil ","post-apocalyptic, science fiction, dystopian, father-son relationships, morality ",
,,They Called Us Enemy,193.0,Graphic Novel ,"In this graphic memoir, actor George Takei recounts his childhood experiences in a Japanese American internment camp during World War II. Through his family's story, the book explores themes of injustice, resilience, and the importance of speaking out against prejudice and government abuse.",George Takei ,2019,,,Very Complex,Moderately Complex ,Moderately Complex,Moderately Complex,,680,4.51,4.97,7 to 12 ,,memoir,"facing racism, justice, family, war, community, courage, democracy","autobiographical, graphic novel, history, civic responsibility",Japanese American
,,The Joy Luck Club,288.0,Novel,"Four Chinese American daughters and their immigrant mothers navigate cultural identity, generational conflict, and personal history as they share their stories through the lens of the Joy Luck Club. Through intertwined narratives, the novel explores the complex bonds between mothers and daughters, shaped by loss, resilience, and the blending of two worlds.",Amy Tan ,1989,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,930,8.4,5.7,9 to 12 ,,realistic fiction ,"legacy of heritage, family, cultural identity, immigrant experience, generational divide","mother-daughter relationships, american dream, storytelling, coming of age",Chinese American/Asian American 
,,The Iliad,600.0,Epic Poem,"Set during the Trojan War, The Iliad focuses on the wrath of the Greek warrior Achilles after a dispute with Agamemnon, which leads to devastating consequences for both sides. As gods intervene and heroes fall, the epic explores themes of honor, fate, glory, and the brutal cost of war.",Homer,800 BCE,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1330,9.0,11.3,7 to 12 ,,"classic, epic poem ","fate vs. free will, war, love, friendship, mortality, honor, divine intervention ","mythology, classic, fantasy, hero's journey, adventure",Greek Mythology 
,,Purple Hibiscus,336.0,Novel,"Fifteen-year-old Kambili grows up in a strict and oppressive household under her devoutly religious father in Nigeria, until a visit to her aunts more liberal home exposes her to new ways of thinking. As political unrest brews outside and family tensions rise within, Kambili begins to find her voice and question the limits of faith, freedom, and love.",Chimamanda Ngozi Adichie,2003,,,Very Complex,Very Complex,Moderately Complex ,Very Complex,,920,8.0,5.8,9 to 12 ,,realistic fiction ,"freedom vs. control, family, facing racism, religion","coming of age, colonialism, African, gender roles",African/Nigerian/Igbo
,,Anne Of Green Gables,320.0,Novel,"When imaginative and spirited orphan Anne Shirley is mistakenly sent to live with elderly siblings Marilla and Matthew Cuthbert on Prince Edward Island, her presence turns their quiet lives upside down. As Anne grows up, she learns to navigate friendship, family, and self-discovery, bringing joy and change to the world around her.",Lucy Maud Montgomery,1908,,,Moderately Complex ,Slightly Complex,Moderately Complex,Slightly Complex,,970,7.5,7.3,3 to 8 ,,"fiction, classic","imagination, creativity, friendship, family, gender roles, individuality","coming of age, classic, children's literature, historical fiction, sentimental ",
,,And Then There Were None,272.0,Novel,"In And Then There Were None, ten strangers lured to a remote island are killed one by one in accordance with a sinister nursery rhyme, until it is revealed through a posthumous confession that the mastermind, Judge Wargrave, orchestrated the murders to deliver his own twisted form of justice.",Agatha Christie,1939,,,Very Complex,Very Complex,Very Complex,Very Complex,,570,3.64,3.24,7 to 12,,psychological fiction,"fear, good vs. evil, justice, corruption","horror, isolation, guilt, manipulation, power and control",
,,"The Lion, The Witch And The Wardrobe",208.0,Novel,"Four siblings enter a magical wardrobe and find themselves in Narnia, and this leads them to join a battle against the evil White Witch to bring hope and freedom to the land.",C. S. Lewis,1950,,,Moderately Complex ,Moderately Complex ,Slightly Complex,Slightly Complex,,940,6.0,5.7,4 to 9,,fantasy fiction,"good vs. evil, family, friendship, bravery, betrayal, forgiveness","Christian values, allegory, children's literature, classic, adventure, portal fantasy",
,,All American Boys,320.0,Novel,"Rashad, a black teenager is wrongfully accused of theft and Quinn, a white teengager, witnesses the incident, forcing them to confront issues of racism, police brutality, and friendship in their community. ",Jason Reynolds,2015,,,Very Complex,Moderately Complex ,Slightly Complex,Moderately Complex,,770,5.0,4.9,7 to 12 ,,realistic fiction,"facing racism, cultural identity, police brutality, systemic racism ","coming of age, young adult literature, father-son relationships, heroism",African American
,,Educated,351.0,Memoir,"Tara Westover recounts her journey from growing up in a strict, isolated Mormon family with no formal education, and this motivates her to pursue knowledge that ultimately reshapes her identity and life path. Through education, she struggles to reconcile her desire for independence with loyalty to her family and their deeply ingrained beliefs.",Tara Westover,2018,,,Very Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,870,6.12,6.4,9 to 12 ,,"memoir, autobiography","family, identity, education, self-discovery, religion, abuse","coming of age, inspiring, emotional, personal growth, resilience",Mormon
,,"Alas, Babylon",352.0,Novel,"After a nuclear war devastates the United States, Randy Bragg and his small Florida town struggle to survive in isolation, ultimately rebuilding a self-sufficient and resilient community amid the collapse of civilization.",Pat Frank,1959,,,Moderately Complex ,Moderately Complex ,Very Complex,Very Complex,,870,6.12,6.0,7 to 12,,science fiction ,"survival, human nature, community, burdens of war, nuclear war","post-apocalyptic, moral responsibility, resilience, ",
,,Alice'S Adventures In Wonderland,70.0,Novel,"In Alices Adventures in Wonderland, Alice follows a White Rabbit down a hole into a fantastical world where she encounters bizarre creatures, undergoes size changes, and navigates a series of absurd, dreamlike adventures before waking up on the riverbank where it all began.",Lewis Carroll,1865,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,880,5.34,5.14,3 to 12,,portal fantasy,"identity, loss of innocence, dreams vs. reality","nonsensical, adventure, curiousity, fantasy",
Erin,,A Man Called Ove,368.0,Novel,"The novel A Man Called Ove alternates between Oves childhood and his present as a curmudgeonly widower who, after multiple failed suicide attempts, finds renewed purpose through unexpected friendships with his new neighbors, a stray cat, and a changing community that gradually draws him out of his grief.",Fredrik Backman,2012,,,Very Complex,Moderately Complex ,Very Complex,Very Complex,,870,6.12,6.0,9 to 12,,humorous fiction,"acceptance of change, grief, community","resilience, loss, suicide attempts, morality",
Erin,,A Raisin In The Sun,151.0,Drama,"A Raisin in the Sun follows the Younger family as they struggle with conflicting dreams, racial discrimination, and economic hardship in 1950s Chicago, ultimately choosing dignity, unity, and hope by moving into a new home despite the risks.",Lorraine Hansberry,1959,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,970,7.72,7.03,7 to 12,,realistic drama,"race, identity, family","The American Dream, gender roles, dignity, resilience",African American
Erin,,As I Lay Dying,208.0,Novel,"Addie Bundrens dying wish to be buried in her hometown sets her impoverished family on a grueling journey fraught with physical hardships, personal struggles, and secrets, culminating in her burial and the fracturing of the family, especially with her son Darls mental breakdown and Dewey Dells desperate attempts to deal with her unwanted pregnancy.",William Faulkner,1930,,,Very Complex,Very Complex,Very Complex,Very Complex,,870,6.12,6.0,10 to 12,,historical fiction,"family, mortality, communication, isolation","identity, responsibility, American South, truth",African American
Erin,,Code Talker,240.0,Novel,"Ned Begay, a Navajo Marine, recounts his journey from a childhood of cultural suppression in boarding school to becoming a celebrated World War II code talker, ultimately sharing his story with his grandchildren to honor his heritage and inspire future generations.",Joseph Bruchac,2005,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,910,6.51,7.0,6 to 12,,historical fiction,"oppression, identity, the power of language, sacrifice","war, World War II, memory, coming of age, resilience",American Indian
Erin,,David Copperfield,1024.0,Novel,"David Copperfield recounts his life from a troubled childhood through personal loss, love, and betrayal, ultimately finding purpose, maturity, and happiness through love, hard work, and writing.",Charles Dickens,1850,,,Very Complex,Very Complex,Exceedingly Complex,Very Complex,,1070,8.32,9.67,9 to 12,,historical fiction,"class and society, self-discovery, family, loss of innocence","coming of age, resilience, loss, love, morality",
Ainsley,,East Of Eden,600.0,Novel,East of Eden is a multigenerational family saga that explores the struggle between good and evil through the intertwined lives of the Trask and Hamilton families in Californias Salinas Valley.,John Steinbeck,1952,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,700,7.72,7.03,9 to 12,,historical fiction,"fate vs free will, good vs. evil, family","allegory, generations, family drama, thought-provoking, rural",
Ainsley,,Eleanor And Park,320.0,Novel,"Eleanor and Park fall in love over comics and mixtapes, but their relationship makes them question the cruelty, abuse, and expectations of their 1980s high school world.",Rainbow Rowell,2012,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,580,5.34,5.14,9 to 12,,realistic fiction,"love, relationships, family, identity","coming of age, descriptions of sexual abuse, the cruelty of bullying, trauma, belonging",Asian American/Biracial
Ainsley,,How The Garcia Girls Lost Their Accents,336.0,Novel,"Four sisters navigate their immigrant experience, cultural identity, and family dynamics after moving from the Dominican Republic to the United States.",Julia Alvarez,1991,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,950,6.51,7.0,9 to 12,,fiction,"cultural identity, legacy of heritage, the importance of language","coming of age, immigrant experience, family drama, self-discovery, storytelling",Latina
Ainsley,,I Am Not Your Perfect Mexican Daughter,352.0,Novel,"After the sudden death of her seemingly perfect sister, Julia struggles with grief, family expectations, and finding her own identity as a rebellious Mexican American teen caught between two cultures.",Erika L. Snchez,2017,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,730,5.34,5.14,7 to 12,,realistic fiction,"cultural identity, legacy of heritage, family, self-discovery","grief, mental health, coming of age, young adult literature, rebellion, mother-daughter relationships",Latina
Erin,,Importance Of Being Earnest,58.0,Drama,"Jack Worthing and Algernon Moncrieff both lead double lives under the name ""Ernest"" to pursue love and freedom, but their deceptions unravel when they both fall for women fixated on the name Ernest, leading to comedic misunderstandings and a surprising family revelation.",Oscar Wilde,1895,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1390,14.2,14.1,9 to 12,,historical fiction,"social class, identity, hypocrisy, marriage","Victorian, social satire, deception, irony, truth",
Erin,,Much Ado About Nothing,246.0,Drama,"In the Italian town of Messina, misunderstandings and deception threaten the happiness of two couplesClaudio and Hero, and Beatrice and Benedickbut love ultimately triumphs through truth, forgiveness, and reconciliation.",William Shakespeare,1600,,,Very Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,1020,7.72,7.03,10 to 12 ,,"classic, drama","deception, love, redemption","gender roles, honor, humor, loyalty",
Ashly,,One Hundred Years Of Solitude,417.0,Novel,"Jos Arcadio Buenda founds the town of Macondo, and as his familys generations unfold, they struggle with solitude, fate, and repeating the mistakes of the past in a world shaped by magical realism.",Gabriel Garcia Marquez,2006,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Moderately Complex,,1410,10.22,10.84,9 to 12,,historical fiction,"isolation, time, family","magical realism, epic, political, generations, memory, sexuality",Latino (Latin America)
Ainsley,,The Scarlet Pimpernel,319.0,Novel,"A daring English nobleman leads a secret double life rescuing French aristocrats from the guillotine during the Reign of Terror, all while maintaining the faade of a carefree socialite.",Baroness Emmuska Orczy,1905,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1140,10.34,9.98,7 to 12,,historical fiction,"identity, loyalty, courage","society and class, revolution, history, adventure, heroism, romance",
Ainsley,,Sir Knight Of The Splendid Way,134.0,Novel,"A young squire named Sir Constant is knighted into service of the Great King and embarks on an allegorical quest along the Splendid Waybattling temptations from figures like the Black Knight, the Whisperer, and Master Envyas he journeys through trials toward the City of the Great King.", W. E. Cule ,1926,,,Very Complex,Moderately Complex,Very Complex,Very Complex,,,,,5 to 12 ,,fantasy fiction,"morality, spirituality, faith ","allegory, Christian values, medieval, quest, self-discovery",
Ainsley,,The Boy In The Striped Pajamas,224.0,Novel,"When Bruno, the son of a Nazi commandant, befriends a Jewish boy on the other side of a concentration camp fence, their innocent friendship leads to a heartbreaking and tragic conclusion.",John Boyne,2006,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,1000,7.72,7.03,7 to 12 ,,historical fiction,"loss of innocence, friendship, prejudice","tear-jerker, tragedy, World War II, burdens of war, family, freedom vs control",Holocaust/Jewish
Ainsley,,The Thing Around Your Neck,300.0,Short-Story Collection,"In these twelve stories, Chimamanda Ngozi Adichie explores the emotional and cultural tensions faced by Nigerians navigating life between Africa and the United States, illuminating with beauty, sorrow, and emotional wisdom the ties that bind families, lovers, and identities across continents.",Chimamanda Ngozi Adichie,2009,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,,,,9 to 12,,fiction,"colonialism, racism, cultural identity","gender roles, immigration, relationships, political, the American dream",Nigerian/African American
