Researcher,Overview,book,"length (pages, time stamp, slide #) ",text type,summary,author,year of publication,Text Complexity,Qualitative measures,levels of meaning,text structure,language conventionality and clarity,knowledge demands,Quantitative measure descriptors,lexile level,Flesch-Kincaid,ATOS Reading Level,reader maturity,Instructional Merit Descriptors,genre,theme/topic,subgenre,cultural experience 
,,The Doll House,,poem,"The speaker reflects on a childhood dollhouse as a symbol of memory, control, and the passage of time. Through the image of the miniature home, the poem explores themes of nostalgia, loss, and the contrast between imagined order and real-life unpredictability.",A.E. Stallings,2001,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,15,7.74,9 to 12 ,,poetry,"memory, the passage of time, youth vs age","nostalgic, personification, metaphorical",
,,See It Through,,poem,"See It Through is a motivational call to face challenges with courage and determination. It encourages perseverance in difficult times, emphasizing the importance of inner strength, grit, and never giving up when confronted with fear or hardship.",Edgar Albert Guest,1917,,,Slightly Complex,Slightly Complex,Slightly Complex ,Slightly Complex ,,,6.6,6.74,6 to 8 ,,poetry,"resilience, overcoming adversity, bravery, determination","modernism, inspiring, hopeful",
,,Be The Best Of Whatever You Are,,poem,"""Be the Best of Whatever You Are encourages readers to take pride in who they are and what they do, no matter their role in life. It emphasizes doing one's best with integrity and purpose, regardless of status or position.",Douglas Malloch,1926,,,Slightly Complex,Slightly Complex,Slightly Complex,Slightly Complex,,,11.7,5.54,6 to 8 ,,poetry,"self-acceptance, diversity, determination","inspiring, hopeful, social commentary",
,,On Turning Ten,,poem,"In a reflection of the bittersweet experience of leaving childhood behind, the speaker mourns the loss of youthful innocence and imagination, recognizing that growing older means facing a more complicated and less magical world. ",Billy Collins,1995,,,Moderately Complex,Moderately Complex,Slightly Complex,Slightly Complex ,,,7.8,6.32,6 to 8 ,,poetry,"youth vs age, loss of innocence, suffering, imagination","coming of age, somber, bittersweet",
,,Harlem,,poem,"Harlem focuses on the experiences of African Americans in Harlem, highlighting the social and racial injustices that force many to delay or abandon their dreams. It explores the frustration and consequences of deferred dreams, questioning what happens when hopes and aspirations are continually postponed. ",Langston Hughes,1951,,,Very Complex ,Moderately Complex,Moderately Complex,Very Complex,,,1.4,3.78,6 to 12 ,,poetry,"racism, injustice, dreams vs. reality, social justice","American dream, Civil rights, revolution, social commentary, Harlem Renaissance",African American
,,O Captain My Captain,,poem,"O Captain! My Captain! is an elegy mourning the death of a beloved leader, widely interpreted as President Abraham Lincoln. The poem uses the metaphor of a ships captain who has successfully guided his vessel through a storm, only to die just as the journey ends, expressing both sorrow and a sense of victory.",Walt Whitman ,1865,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,,4.2,7.09,8 to 12 ,,"poetry,elegy","grief, loss, patriotism, victory","masculinity, heroism, classic, sensational",
,,The Giver,179,Novel ,Jonas is selected as the Reciever of Memory and this makes him question the sameness and controlled emotions of his dystopian society.,Lois Lowry,1993,,,Very Complex,Moderately Complex ,Moderately Complex ,Very Complex,,760,4.51,4.97,6 to 8,,Dystopian Fiction,"Memory, individuality, societal control","coming of age, science fiction, sensational, choice, bittersweet",
,,A Wrinkle In Time,256,Novel ,"Meg travels through time and space with her brother and friend to rescue her father, which leads her to question the power of darkness and discover the strength of love and individuality.",Madeleine L'Engle,1962,,,Very Complex,Very Complex,Very Complex,Very Complex,,740,4.51,4.97,5 to 7 ,,science fiction ,"individuality, freedom vs. control, love, community","coming of age, Christian values, fantasy, family, adventure, science",
,,The Lightning Thief,416,Novel ,"Percy Jackson discovers he is a demigod and is accused of stealing Zeuss lightning bolt, prompting him to embark on a quest that reveals his true identity and challenges the gods control over the mortal world.",Rick Riordan,2005,,,Moderately Complex,Moderately Complex ,Moderately Complex ,Very Complex,,680,1.98,2.75,5 to 9 ,,fantasy fiction ,"identity, friendship, heroism vs. normalcy ","coming of age, belonging, fantasy, sardonic, young adult literature, hero's journey",Greek Mythology 
,,Wonder,310,Novel ,"Auggie Pullman, a boy with a facial difference, attends school for the first time and faces bullying and kindness that ultimately transform his communitys views on acceptance and empathy.",R.J. Palacio ,2012,,,Moderately Complex,Moderately Complex ,Moderately Complex ,Moderately Complex,,790,4.51,4.97,3 to 7 ,,realistic fiction ,"kindness, social belonging, the cruelty of bullying, identity, friendship, acceptance","coming of age, family, hopeful, humorous, isolation, self-discovery",
,,Bridge To Terabithia,176,Novel ,"Jesse Aarons forms a deep friendship with Leslie Burke, and together they create the imaginary world of Terabithia, but her sudden death forces him to confront grief and find strength through their shared creativity.",Katherine Paterson ,1977,,,Moderately Complex,Slightly Complex,Moderately Complex ,Moderately Complex,,810,4.51,4.97,4 to 7 ,,realistic fiction ,"friendship, loss, grief, individuality, gender","coming of age, bittersweet, children's literature, imagination and escapism ",
,,Holes,233,Novel,"Stanley Yelnats is sent to a juvenile detention camp where he must dig holes as punishment, but he uncovers a hidden family curse and a buried mystery that changes his destiny.",Louis Sachar,1998,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,660,1.98,2.75,5 to 8 ,,realistic fiction,"friendship, fate vs. free will, justice, cruelty vs kindness","racism, magical realism, young adult literature, mystery, adventure",
,,Hatchet,192,Novel ,"After a plane crash leaves him stranded in the wilderness, thirteen-year-old Brian must learn to survive alone, discovering resilience and self-reliance in the face of natures challenges.",Gary Paulsen,1986,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,1020,6.51,7,5 to 10 ,,"fiction, bildungsroman","survival, isolation, man vs. nature ","coming of age, adventure, young adult literature, personal growth, resilience",
,,The Diary Of A Young Girl,304,Memoir,"Anne Frank, a Jewish teenager in hiding during the Holocaust, records her thoughts and experiences in a diary, revealing her hopes, fears, and the harsh realities of life under Nazi persecution.",Anne Frank,1947,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1020,6.51,7,7 to 12,,"Memoir, autobiography","loss of innocence, identity, human nature, prejudice, burdens of war ","coming of age, non-fiction, tragedy, memoir, hopeful",Holocaust/Jewish
,,Where The Red Fern Grows,304,Novel ,"Billy raises and trains two hunting dogs, Old Dan and Little Ann, forming a deep bond with them as they face challenges together in the Ozark Mountains. Their loyalty and sacrifices teach Billy about love, loss, and the enduring power of memories.",Wilson Rawls,1961,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,700,1.98,2.75,4 to 7 ,,"autobiographical fiction, historical fiction ","resilience, personal growth, nature, death, loyalty ","coming of age, tear-jerker, poverty, children's literature, Christian values, rural",
,,The Hobbit,300,Novel ,"Bilbo is recruited by Gandalf and a group of dwarves to help reclaim their mountain home from the dragon Smaug, forcing him to leave behind his quiet, predictable life.",J.R.R. Tolkien,1937,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1000,6.51,7,6 to 8 ,,fantasy fiction ,"friendship, loyalty, heroism vs. normalcy, nature, greed","epic, fantasy, adventure, classic, hero's journey, children's literature ",
,,Brown Girl Dreaming,336,Novel,"Brown Girl Dreaming is Jacqueline Woodsons poetic memoir of her childhood in the 1960s and 70s, tracing her journey from Ohio to South Carolina to New York while discovering her passion for storytelling and her dream of becoming a writer.",Jacqueline Woodson,2014,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,990,7.72,7.03,5 to 12 ,,Poetry,"identity, self-expression, cultural identity, facing racism","memoir, emotional, belonging, family",African American
,,When Stars Are Scattered,264,Graphic Novel,"Omar and his brother Hassan grow up in Dadaab, a refugee camp in Kenya, while waiting for the Civil War in Somalia to end. Omar struggles with the choice between pursuing an education or caring for his nonverbal brother, exploring equality, disability, and the power of education. ",Omar Mohamed and Victoria Jamieson,2020,,,Moderately Complex,Slightly Complex,Slightly Complex,Exceedingly Complex,,530,1.98,2.75,4 to 7,,Memoir,"family, friendship, resilience, cultural identity, burdens of war","graphic novel, non-fiction, young adult literature, immigrant/refugee experience",African (Somali and Kenyan) 
,,Prisoner B-3087,272, Novel,"Yanek is captured by the Nazis and sent to ten concentration camps, where he fights to survive while witnessing the horrors of the Holocaust and holding onto hope for freedom.",Alan Gratz,2013,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,760,4.51,4.97,5 to 9 ,,historical fiction,"resilience, survival, isolation, cruelty vs kindness, burdens of war","coming of age, tragedy, hopeful, personal growth ",Holocaust/Jewish
,,Refugee,352,Novel,"Refugee follows the intertwined journeys of three childrenJosef fleeing Nazi Germany in 1938, Isabel escaping Cuba in 1994, and Mahmoud leaving war-torn Syria in 2015as they and their families seek safety and a new life, facing immense hardship, loss, and resilience across different times and continents.",Alan Gratz,2017,,,Moderately Complex,Very Complex,Moderately Complex,Moderately Complex,,800,5.34,5.14,4 to 7,,historical fiction,"survival, cultural conflict, war, resilience, the importance of human connection","bittersweet, hopeful, suspense, family, immigrant/refugee experience","Holocaust/Jewish, Cuban, Syrian"
,,Number The Stars,137,Novel,"Annemarie helps smuggle her Jewish friend Ellen to safety during the Nazi occupation of Denmark, which leads her to confront the dangers and moral choices of wartime resistance.",Lois Lowry ,1989,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,670,1.98,2.75,4 to 8 ,,historical fiction ,"friendship, the importance of human connection, sacrifice, rebellion, burdens of war","coming of age, privilege, hopeful, moral responsibility ",Holocaust/Jewish
,,The Book Thief,584,Novel ,"Liesel steals books and learns to read in Nazi Germany, using the power of words to cope with loss and resist the horrors of war as Death narrates her story.",Markus Zusak,2005,,,Very Complex,Very Complex,Very Complex,Very Complex,,730,5.34,5.14,7 to 12 ,,historical fiction ,"death, burdens of war, cruelty vs kindness, friendship, power of words","coming of age, tear-jerker, sardonic, emotional, hardship ",Holocaust/Jewish
,,The Princess Bride,464,Novel ,"Westley sets out to rescue his true love Buttercup, and along the way, he challenges the cruelty and absurdity of a world filled with villains, revenge, and true love.",William Goldman ,1973,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,870,4.51,4.97,7 to 12 ,,adventure fiction ,"love, loyalty, friendship, imagination, fact vs fiction, storytelling","frame narrative, humor, satire, fairytale, fantasy, sensational, medieval ",
,,Little Women,750,Novel ,"The March sistersMeg, Jo, Beth, and Amyeach follow different paths to womanhood, revealing the struggles and strength of family, identity, and independence.",Louisa May Alcott,1868,,,Moderately Complex,Moderately Complex,Very Complex,Very Complex,,1300,8.32,9.67,6 to 12 ,,"fiction, historical fiction ","family, love, ambition, gender roles, identity, sacrifice","coming of age, Civil War, romance, family drama, classic ",
,,Little House On The Prairie,334,Novel,"Laura Ingalls and her family move west to settle on the Kansas prairie, where they face hardships, build a home, and learn to survive in an unfamiliar and often dangerous land.",Laura Ingalls Wilder,1935,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,760,4.51,4.97,3 to 7 ,,"autobiographical fiction, historical fiction ","family, survival, man vs nature, resilience, community ","coming of age, American Dream, gender roles, pioneer life, rural ",
,,"Roll Of Thunder, Hear My Cry",288,Novel,"Narrated by nine-year-old Cassie Logan, Roll of Thunder, Hear My Cry is a coming-of-age novel set in Mississippi during the Great Depression that focuses onthe Logan family, a Black family striving to maintain their land and dignity amidst systemic racism and economic hardship.",Mildred D. Taylor,1976,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,920,6.51,7,7 to 9,,historical fiction,"racism, community, storytelling, independence","dignity, resilience, injustice",African American
,,I Am The Messenger,357,Novel,"The Messengertells the story of Ed Kennedy, a 19-year-old cab driver who becomes an accidental hero after stopping a bank robbery",Markus Zusak,2002,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,640,3.95,3.66,10 to 12,,realistic fiction,"heroism vs. normalcy, the importance of human connection, empathy","coming of age, hopeful, moral responsibility",
,,Jacob Have I Loved,256,Novel,"Jacob Have I Loved by Katherine Paterson tells the story of Louise Bradshaw, a jealous and self-doubting girl growing up in her twin sister's shadow on a Chesapeake Bay island, as she struggles to find her identity, independence, and self-worth.",Katherine Paterson,1980,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,880,5.34,5.14,7 to 12,,historical fiction,"identity, independence, family, self-worth","coming of age, sibling rivalry, World War II",
,,I Am Malala,327,Memoir,"I am Malala is the remarkable tale of a family uprooted by global terrorism, of the fight for girls' education, of a father who, himself a school owner, championed and encouraged his daughter to write and attend school, and of brave parents who have a fierce love for their daughter in a society that prizes sons.",Christina Lamb and Malala Yousafzai,2013,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,830,5.34,5.14,7 to 12,,autobiography,"burdens of war, education, resilience, family, survival","activism, non-fiction, war",Pashtun (set in Pakistan)
,,Adventures Of Huckleberry Finn,362,Novel,"Huck Finn fakes his death and travels down the Mississippi River with a runaway slave named Jim, which leads him to question the morality and hypocrisy of the society he grew up in.",Mark Twain ,1884,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,980,5.34,6.6,5 to 9 ,,adventure fiction ,"racism, freedom vs control, friendship, nature, independence, morality ","coming of age, classic, picaresque, satire, historical, American South, eye dialect ",
,,Ender'S Game,225,Novel,"Ender is sent to space to be trained as Earth's military leader against an alien threat, but the psychological toll of manipulation and isolation forces him to question what kind of person he is becoming.",Orson Scott Card,1985,,,Very Complex,Moderately Complex,Moderately Complex,Very Complex,,780,4.51,4.97,7 to 12 ,,science fiction ,"love, power and control, the impact of technology, compassion, destruction","coming of age, dystopian, young adult literature, space, war",
,,Monster,281,Novel,"Steve Harmon is on trial for murder and tells his story through a screenplay format, which makes him question how others see himand how he sees himself. The lines between truth and performance are blurred as Steve grapples with fear, innocence, and identity. ",Walter Dean Myers,1999,,,Very Complex,Very Complex,Moderately Complex,Very Complex,,670,5.34,5.14,8 to 12,,realistic fiction ,"systemic racism, injustice, dehumanization, identity, fear","drama novel, unreliable narrator, coming of age, criminal justice system ",African American 
,,Whale Talk,224,Novel ,"T.J. Jones, an adopted Asian-African-European-American teenager, jumbles together a swim team of misfit students in order to shame his high school's elitist athletics program, confronting racism, abuse, and belonging along the way. ",Chris Crutcher,2001,,,Moderately Complex,Moderately Complex,Moderately Complex,Very Complex,,1000,6.51,7,8 to 12 ,,realistic fiction ,"prejudice, the cruelty of bullying, belonging, cultural identity, isolation, identity ","young adult literature, witty, personal growth, sports fiction ",African American/Asian American/Biracial
,,Simon Vs. The Homo Sapiens Agenda,336,Novel,"Simon is secretly gay and exchanging anonymous emails with another closeted boy, but when someone threatens to reveal his secret, he must confront his identity and what it means to be honest with himself and others.",Becky Albertalli,2015,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,640,1.98,2.75,7 to 12 ,,realistic fiction ,"identity, acceptance, sexuality, relationships ","coming of age, personal growth, young adult literature, coming out, queer",LGBTQ+
,,I Am The Messenger,357,Novel,"After Ed Kennedy receives mysterious playing cards with instructions, he begins secretly helping strangers, which forces him to confront his own purpose and the impact of small acts of kindness.",Markus Zusak,2002,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,640,1.98,2.75,7 to 12,,realistic fiction,"choice, love, heroism, kindness, the importance of human connection, fate vs. free will, purpose","personal growth, mystery, young adult literature",
,,I Know Why The Caged Bird Sings,304,Memoir,"An autobiography describing the young and early years of writer and poet Maya Angelou in the segregated South, this book explores how Maya' strength of character and love of literature helped her navigate racism and trauma. ",Maya Angelou,1969,,,Very Complex,Very Complex,Very Complex,Very Complex,,1010,6.51,7,9 to 12 ,,autobiography ,"facing racism, gender roles, self-acceptance, freedom vs control, power of words, belonging","coming of age, personal growth, religion, American South, descriptions of sexual abuse",African American 
,,Narrative Of The Life Of Frederick Douglass,122,Memoir ,"Through a firsthand account of his life in bondage, Frederick Douglass exposes the cruelty of slavery and demonstrates how education became a tool for liberation and self-realization.",Frederick Douglass,1845,,,Moderately Complex ,Moderately Complex,Moderately Complex,Moderately Complex,,1040,6.51,7,7 to 12 ,,autobiography ,"facing racism, justice, education, freedom, power of words","historical, abolitionist, slavery, tragedy, religion, community",African American 
,,Slaughterhouse-Five,200,Novel ,"Billy Pilgrim becomes ""unstuck in time"" after surviving the bombing of Dresden, and his nonlinear experiences with war, trauma, and alien abduction lead him to question the nature of free will and human suffering.",Kurt Vonnegut,1969,,,Exceedingly Complex,Very Complex,Very Complex,Very Complex,,850,4.51,4.97,9 to 12 ,,"science fiction, historical fiction ","burdens of war, death, fate vs. free will, imagination, human nature","pyschological, philosophical, satire, absurdity, dark, World War II ",
,,The Sun Is Also A Star,384,Novel ,"In the span of a single day, Natasha, a science-minded Jamaican immigrant facing deportation, and Daniel, a poetic Korean American torn between duty and desire, meet by chance and form a deep connection. Through alternating perspectives and brief glimpses into the lives of others they encounter, the novel explores themes of love, identity, family, and the cultural and political forces that shape their world.",Nicola Yoon ,2016,,,Moderately Complex,Moderately Complex,Moderately Complex,Moderately Complex,,650,1.98,2.75,7 to 9 ,,realistic fiction ,"fate vs. free will, love, family, the importance of human connection, identity ","coming of age, young adult literature, romance, immigrant/refugee experience",African American/Asian American 
,,The Maze Runner,375,Novel ,"Thomas wakes up in the Glade with no memory of his past, and as he joins a group of boys trapped in a deadly and ever-changing maze, he begins to question the truth behind their imprisonment and the organization controlling them.",James Dashner,2009,,,Very Complex,Moderately Complex,Moderately Complex,Moderately Complex,,770,4.51,4.97,7 to 9 ,,science fiction ,"survival, sacrifice, identity, memory, friendship, freedom","dystopian, young adult literature, adventure, suspense",
,,Stargirl,169,Novel,"When the eccentric and free-spirited Stargirl arrives at her new high school, her uniqueness makes her an outcast, and this forces her classmate, Leo, to question the value of fitting in versus staying true to oneself.",Jerry Spinelli,2000,,,Moderately Complex,Moderately Complex,Slightly Complex ,Slightly Complex ,,590,1.98,2.75,6 to 9 ,,realistic fiction ,"identity, belonging, conformity, friendship, kindness, acceptance ","young adult literature, romance, heartfelt, personal growth",
,,Divergent,487,Novel ,"Tris discovers that she is Divergent, capable of excelling in multiple factions, and as she navigates the deadly initiation process, she must fight to protect her secret and uncover the truth behind the faction system.",Veronica Roth ,2011,,,Moderately Complex ,Moderately Complex,Moderately Complex ,Very Complex ,,700,1.98,2.75,7 to 12 ,,science fiction,"identity, conformity, choice, courage, societal control","young adult literature, coming of age, dystopian, gender roles, sensational ",
,,The Invention Of Hugo Cabret,533,Novel ,"Hugo, an orphan living in a Paris train station, discovers a broken automaton and embarks on a quest to unlock its secrets, which leads him to a surprising connection with a forgotten filmmaker.",Brian Selznick ,2007,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex ,,820,5.34,5.14,4 to 7 ,,historical fiction ,"friendship, imagination, purpose, community, creativity  ","graphic novel, magical realism, children's literature, found family",
,,Othello,368,Drama,"Othello, a Moorish general in the Venetian army, secretly marries Desdemona, and after promoting Cassio instead of Iago, he becomes the target of a calculated scheme that leads him to question Desdemonas fidelity and ultimately results in tragedy.",William Shakespeare,1604,,,Very Complex ,Very Complex ,Exceedingly Complex ,Very Complex ,,1160,8.32,9.67,7 to 12 ,,"classic, drama","jealousy, gender roles, prejudice, racism, power, identity ","european, tragedy, historical, madness, doubt, war",
,,The Call Of The Wild,144,Novel ,"Buck, a domesticated dog, is stolen from his home and forced into the brutal life of an Alaskan sled dog, and this makes him question his place in the world as he gradually reconnects with his primal instincts.",Jack London ,1903,,,Moderately Complex ,Very Complex ,Very Complex ,Very Complex,,640,1.98,2.75,5 to 12 ,,"historical fiction, adventure fiction ","survival, loyalty, power, primal instincts, civilization vs the wild","classic, animal story, anthropomorphism, adventure, social Darwinism",
,,Hidden Figures,368,Biography,"In this true story, Katherine Johnson, Dorothy Vaughan, and Mary Jackson are Black female mathematicians working at NASA during the space race, and their groundbreaking contributions make them question and challenge the racial and gender barriers of their time.",Margot Lee Shetterly,2016,,,Very Complex ,Moderately Complex ,Moderately Complex ,Very Complex,,1350,10.34,11.2,7 to 12 ,,nonfiction ,"facing racism, gender roles, prejudice, community, resilience","science, historical drama, empowerment, Civil Rights Movement, Space Race",African American 
,,The Canterbury Tales,258,Epic Poem,The Canterbury Tales is a collection of 24 stories told by a group of pilgrims on their way to the shrine of Saint Thomas Becket in Canterbury.,Geoffrey Chaucer,1392,,,Exceedingly Complex,Exceedingly Complex,Very Complex ,Very Complex ,,1055,10.22,8.1,11 to 12,,frame narrative,"social class, sexuality, morality, honor","social satire, courtly romance, medieval society",
,,A Midsummer Night'S Dream,280,Drama,"A Midsummer Nights Dream is a whimsical comedy in which love, magic, and mischief collide as four young lovers, a group of amateur actors, and the fairy world become entangled in a series of humorous and chaotic misunderstandings in an enchanted forest.",William Shakespeare,1600,,,Very Complex ,Very Complex ,Exceedingly Complex,Very Complex ,,1185,10.34,10.9,8 to 12,,"classic, drama","love, order vs. disorder, gender roles, ","transformation, magical realism, jealousy",
,,The Tempest,304,Drama,"The Tempest by William Shakespeare is a tale of magic, revenge, and forgiveness in which the exiled sorcerer Prospero uses his powers to shipwreck his enemies on a mysterious island, only to ultimately choose reconciliation and freedom over vengeance.",William Shakespeare,1611,,,Exceedingly Complex,Very Complex ,Exceedingly Complex,Very Complex ,,1070,8.32,9.67,10 to 12,,"classic, drama","revenge, reconciliation, freedom vs. control, human nature","magical realism, nature, power and control",
,,The Sound And The Fury,326,Novel,"The Sound and the Fury by William Faulkner is a fragmented, stream-of-consciousness novel that traces the decline of the once-aristocratic Compson family in the American South through the troubled inner lives of its four narrators.",William Faulkner,1929,,,Very Complex ,Very Complex ,Very Complex ,Very Complex ,,870,6.12,6,10 to 12,,gothic fiction,"heritage, race, corruption","time, importance of language, guilt, American South",
,,King Lear,384,Drama,"In King Lear, the aging King of Britain divides his kingdom between his two deceitful daughters after disowning the one who truly loves him, triggering a tragic chain of betrayal, madness, and death that leads to the downfall of Lear and his family.",William Shakespeare,1606,,,Very Complex ,Very Complex ,Exceedingly Complex,Very Complex ,,1140,10.34,9.98,9 to 12,,"classic, drama","betrayal vs. loyalty, power, dishonesty","family, deception, madness",
,,Crime And Punishment,720,Novel,"Crime and Punishment is a psychological novel thatexplores the moral and psychological consequences of crime as its protagonist, Rodion Raskolnikov, an impoverished student, justifies his murder of an old pawnbroker.",Fyodor Dostoevsky,1866,,,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,Exceedingly Complex,,850,6.12,6,11 to 12,,psychological fiction,"loss of innocence, morality, good vs. evil","good vs. evil, redemption, guilt,  poverty, crime",
,,The Absolutely True Diary Of A Part-Time Indian,288,Novel,"The Absolutely True Diary of a Part-Time Indian follows Junior, a Native American teenager who leaves his reservation school to attend an all-white high school in a nearby town, facing identity struggles, racism, and personal loss as he seeks a better future.",Sherman Alexie,2007,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Moderately Complex ,,600,3.66,3.95,7 to 12,,"narrative, bildungsroman","loyalty, identity, racial inequality","race, poverty, hopeful, resilience",Native American
,,Born A Crime,304,Novel,"Born a Crime by Trevor Noah is a memoir recounting his childhood in apartheid and post-apartheid South Africa, where, as a mixed-race child born to a Black mother and white father, he navigates poverty, racism, and identity with humor, resilience, and deep love for his fearless mother.",Trevor Noah,2016,,,Moderately Complex ,Slightly Complex,Moderately Complex ,Moderately Complex ,,770,4.51,4.97,10 to 12,,autobiography,"racial inequality, cultural belonging, family","comedy, poverty, violence, resilience","South African, Biracial"
,,Esperanza Rising,304,Novel,"Esperanza Rising tells the story of a wealthy Mexican girl who, during the Mexican Revolution, must flee to the United States during the Great Depression and learn to rebuild her life as a farm laborer.",Pam Muoz Ryan,2000,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex ,,750,4.51,4.97,3 to 8,,historical fiction,"racial inequality, immigrant experience, community","tragedy, resilience, american dream, hopeful",Mexican
,,Gulliver'S Travels,336,Novel,"Gulliver's Travels follows Lemuel Gulliver as he journeys to fantastical landsincluding those of tiny people, giants, intelligent horses, and impractical scientistsoffering a satirical critique of human nature, politics, and society.",Jonathan Swift,1726,,,Moderately Complex ,Moderately Complex ,Very Complex ,Very Complex ,,1330,12.12,12.01,5 to 12,,"satire, narrative","human nature, corruption, conformity","adventure, social satire, power, colonialism",
,,The Help,524,Novel,"Set in 1960s Jackson, Mississippi, The Help follows the secret collaboration between Skeeter, an aspiring white writer, and two Black maids, Aibileen and Minny, as they courageously share the harsh realities of working for white families, challenging racism and societal norms in the Jim Crow South.",Kathryn Stockett,2009,,,Moderately Complex ,Very Complex ,Very Complex ,Exceedingly Complex,,730,4.51,4.97,10 to 12,,historical fiction,"racial inequality, prejudice, the power of voice, gender roles","friendship, storytelling, American South, resilience, empathy",African American
,,Island Of The Blue Dolphins,192,Novel,"In Island of the Blue Dolphins, a young girl named Karana is left alone on her island after a series of tragedies, including the deaths of her father and brother, and over many years she survives by relying on her courage, resourcefulness, and the companionship of animals, until she is finally rescued.",Scott O'Dell,1960,,,Moderately Complex ,Slightly Complex,Slightly Complex,Moderately Complex ,,1000,7.72,7.03,4 to 8,,historical fiction,"survival, indigenous oppression, connection to nature","colonialism, resilience, violence, companionship, ",Indigenous
,,A Long Walk To Water,128,Novel,"A Long Walk to Water interweaves the true story of Salva, a Sudanese ""Lost Boy"" who survives war and exile to bring clean water to his homeland, with the fictional story of Nya, a young girl whose life is transformed by the well he helps build.",Linda Sue Park,2010,,,Moderately Complex ,Moderately Complex ,Moderately Complex ,Very Complex ,,720,4.51,4.97,3 to 8,,historical fiction,"survival, legacy of heritage, moral responsibility","refugee experience, resilience, the importance of human connection, hopeful",Sudanese
,,The Merchant Of Venice,304,Drama,"In The Merchant of Venice, the Venetian merchant Antonio risks his life to help his friend Bassanio woo the heiress Portia, leading to a dramatic courtroom showdown with the vengeful moneylender Shylock, but love, cleverness, and mercy ultimately triumph over greed and prejudice.",William Shakespeare,1605,,,Very Complex ,Very Complex ,Exceedingly Complex,Very Complex ,,1050,8.32,9.67,9 to 12,,"classic, drama","justice, friendship, love vs. self-interest","revenge, power, mercy, love",
,,Uncle Tom'S Cabin,266,Novel,"Uncle Tom, a deeply religious and compassionate enslaved man, is sold to increasingly cruel owners, leading him to endure great suffering and ultimately inspiring others through his unwavering faith. His journey exposes the brutality of slavery and challenges the moral conscience of a divided nation.",Harriet Beecher Stowe,1852,,,Very Complex ,Moderately Complex ,Very Complex ,Very Complex ,,1050,8.32,9.67,9 to 12 ,,fiction ,"justice, freedom, facing racism, family, cruelty vs kindness, morality ","classic, historical, abolitionist, slavery, Christian values ",African American 
,,Wuthering Heights,359,Novel ,"Lockwood, a new tenant on the Yorkshire moors, uncovers the dark history of Wuthering Heights and the doomed love between Heathcliff, a brooding outsider, and Catherine Earnshaw. Catherines choice to marry for status rather than love drives Heathcliff to revenge, a legacy of pain that haunts the next generation.",Emily Bront,1847,,,Very Complex,Exceedingly Complex,Very Complex,Very Complex,,880,4.51,4.97,6 to 12 ,,gothic fiction ,"love, destruction, revenge, legacy of heritage, family ","supernatural, gender roles, social class, romance, psychological ",
,,The Alchemist,182,Novel ,"Santiago, a young Andalusian shepherd, dreams of finding a hidden treasure in Egypt and sets off on a journey that leads him across deserts and through spiritual discoveries. Along the way, he learns that true treasure lies in following ones personal legend and listening to the heart.",Paulo Coelho ,1988,,,Very Complex,Very Complex,Very Complex,Very Complex,,910,4.51,4.97,9 to 12 ,,adventure fiction ,"purpose, fate vs. free will, choice, love, connection to nature, spirituality ","self-discovery, magical realism, philosophical, hero's journey, inspirational ","Spanish, Arabic"
,,The Handmaid'S Tale,311,Novel,"In the dystopian society of Gilead, where fertile women are forced into reproductive servitude, Offred serves as a Handmaid to a powerful Commander. As she navigates a world stripped of identity and freedom, she quietly resists and clings to memories, hope, and the possibility of escape.",Margaret Atwood ,1985,,,Exceedingly Complex ,Very Complex ,Moderately Complex ,Very Complex,,750,4.51,4.97,9 to 12 ,,dystopian fiction ,"freedom vs. control, morality, gender roles, power of words, rebellion ","resilience, theocracy, reproductive rights, female agency",
